n;q_time;q_c;q_s;q__c/n;q_s/n,m_time;m_c;m_s;m__c/n;m_s/n,i_time;i_c;i_s;i__c/n;i_s/n
3300;0.000305;44641.121094;20085.080078;13.527612;6.086388;0.000449;34463.000000;38804.000000;10.443334;11.758788;0.006166;2720897.500000;3299.000000;824.514404;0.999697
3400;0.000312;46803.960938;21721.320312;13.765871;6.388624;0.000451;35649.800781;40104.000000;10.485235;11.795294;0.006497;2881075.000000;3399.000000;847.374939;0.999706
3500;0.000324;48716.878906;22402.380859;13.919108;6.400680;0.000471;36845.378906;41404.000000;10.527251;11.829714;0.007131;3067586.500000;3499.000000;876.453308;0.999714
3600;0.000332;50261.019531;23330.820312;13.961394;6.480783;0.000477;38023.519531;42704.000000;10.562089;11.862223;0.007602;3228496.750000;3599.000000;896.804626;0.999722
3700;0.000348;51440.519531;23672.939453;13.902843;6.398092;0.000510;39222.300781;44004.000000;10.600621;11.892973;0.007760;3415931.000000;3699.000000;923.224548;0.999730
3800;0.000366;53628.378906;24770.419922;14.112732;6.518532;0.000542;40408.699219;45304.000000;10.633868;11.922105;0.008319;3614576.750000;3799.000000;951.204407;0.999737
3900;0.000378;54523.460938;25022.419922;13.980374;6.416005;0.000550;41620.941406;46604.000000;10.672036;11.949743;0.008925;3798789.750000;3899.000000;974.048645;0.999744
4000;0.000381;56662.621094;26526.439453;14.165655;6.631610;0.000543;42822.019531;47904.000000;10.705505;11.976000;0.008899;3996163.500000;3999.000000;999.040894;0.999750
4100;0.000393;58774.218750;27301.320312;14.335176;6.658858;0.000555;44020.199219;49208.000000;10.736634;12.001951;0.009376;4201639.500000;4099.000000;1024.790039;0.999756
4200;0.000404;59523.078125;27201.599609;14.172162;6.476572;0.000575;45267.359375;50608.000000;10.777943;12.049523;0.010036;4413283.000000;4199.000000;1050.781738;0.999762
4300;0.000408;61961.300781;28284.800781;14.409605;6.577860;0.000596;46509.058594;52008.000000;10.816060;12.094884;0.010307;4615705.000000;4299.000000;1073.419800;0.999767
4400;0.000415;63622.718750;28917.660156;14.459709;6.572196;0.000592;47741.738281;53408.000000;10.850395;12.138182;0.010723;4830812.500000;4399.000000;1097.911987;0.999773
4500;0.000457;65014.898438;29484.480469;14.447756;6.552107;0.000637;48979.921875;54808.000000;10.884427;12.179556;0.011690;5053761.500000;4499.000000;1123.058105;0.999778
4600;0.000440;66143.320312;29746.900391;14.378983;6.466717;0.000637;50227.121094;56208.000000;10.918940;12.219131;0.011993;5284034.000000;4599.000000;1148.703003;0.999783
4700;0.000448;68483.859375;30980.060547;14.571034;6.591502;0.000645;51477.300781;57608.000000;10.952617;12.257021;0.012313;5519402.000000;4699.000000;1174.340942;0.999787
4800;0.000475;71592.398438;32062.300781;14.915083;6.679646;0.000671;52729.121094;59008.000000;10.985233;12.293333;0.013201;5754978.000000;4799.000000;1198.953735;0.999792
4900;0.000502;72234.718750;32188.560547;14.741779;6.569094;0.000712;53973.699219;60408.000000;11.015040;12.328163;0.014484;5993270.000000;4899.000000;1223.116333;0.999796
5000;0.000497;74498.242188;34155.921875;14.899648;6.831184;0.000687;55224.179688;61808.000000;11.044836;12.361600;0.014053;6219819.500000;4999.000000;1243.963867;0.999800
5100;0.000488;75853.640625;33774.218750;14.873262;6.622396;0.000696;56478.941406;63208.000000;11.074302;12.393725;0.014582;6496302.500000;5099.000000;1273.784790;0.999804
5200;0.000503;77376.382812;34850.281250;14.880074;6.701977;0.000722;57734.101562;64608.000000;11.102712;12.424616;0.015395;6747142.000000;5199.000000;1297.527222;0.999808
