n;q_time;q_c;q_s;q__c/n;q_s/n,m_time;m_c;m_s;m__c/n;m_s/n,i_time;i_c;i_s;i__c/n;i_s/n;q_dual_time;q_dual_c;q_dual_s;q_dual__c/n;q_dual_s/n
2500;0.000271;32444.070312;15171.669922;12.977628;6.068668;0.000415;25115.300781;28404.000000;10.046120;11.361600;0.032990;1565123.375000;2499.000000;626.049316;0.999600;0.000249;15295.540039;11550.759766;6.118216;4.620304
2600;0.000253;33991.539062;15912.339844;13.073669;6.120131;0.000373;26265.580078;29704.000000;10.102146;11.424616;0.037272;1689914.375000;2599.000000;649.967102;0.999615;0.000241;15985.599609;12185.429688;6.148308;4.686704
2700;0.000248;35632.148438;16723.250000;13.197093;6.193796;0.000373;27424.490234;31004.000000;10.157219;11.482963;0.041465;1821670.125000;2699.000000;674.692627;0.999630;0.000239;16664.009766;12576.750000;6.171855;4.658056
2800;0.000256;36824.160156;17150.519531;13.151485;6.125185;0.000378;28588.880859;32304.000000;10.210315;11.537143;0.045947;1957493.000000;2799.000000;699.104614;0.999643;0.000252;17386.919922;13116.230469;6.209614;4.684368
2900;0.000291;38554.390625;17837.119141;13.294618;6.150731;0.000422;29748.759766;33604.000000;10.258193;11.587586;0.051193;2101144.000000;2899.000000;724.532410;0.999655;0.000270;18111.119141;13577.259766;6.245214;4.681814
3000;0.000279;40173.691406;18533.240234;13.391230;6.177747;0.000404;30921.759766;34904.000000;10.307253;11.634666;0.056234;2251032.250000;2999.000000;750.344116;0.999667;0.000268;18816.470703;14165.099609;6.272157;4.721700
3100;0.000384;41656.710938;19234.039062;13.437649;6.204529;0.000421;32090.169922;36204.000000;10.351667;11.678710;0.061941;2397727.000000;3099.000000;773.460327;0.999677;0.000280;19745.109375;14781.450195;6.369390;4.768209
3200;0.000327;43687.339844;20209.900391;13.652294;6.315594;0.000478;33273.230469;37504.000000;10.397884;11.720000;0.068451;2558381.000000;3199.000000;799.494080;0.999687;0.000307;20351.210938;15412.370117;6.359753;4.816366
3300;0.000331;45044.878906;20709.349609;13.649963;6.275560;0.000491;34463.199219;38804.000000;10.443394;11.758788;0.075097;2716271.250000;3299.000000;823.112549;0.999697;0.000311;21166.640625;15666.349609;6.414134;4.747379
3400;0.000351;46676.480469;21482.470703;13.728376;6.318374;0.000517;35649.140625;40104.000000;10.485042;11.795294;0.082474;2886461.500000;3399.000000;848.959229;0.999706;0.000325;21436.089844;15981.169922;6.304732;4.700344
