n;q_time;q_c;q_s;q__c/n;q_s/n,m_time;m_c;m_s;m__c/n;m_s/n,i_time;i_c;i_s;i__c/n;i_s/n;q_dual_time;q_dual_c;q_dual_s;q_dual__c/n;q_dual_s/n
2500;0.000223;32382.960938;14986.660156;12.953184;5.994664;0.000329;25119.300781;28404.000000;10.047720;11.361600;0.031578;1560565.625000;2499.000000;624.226257;0.999600;0.000219;15323.440430;11553.360352;6.129376;4.621344
2600;0.000233;34398.601562;15875.179688;13.230230;6.105838;0.000343;26272.359375;29704.000000;10.104753;11.424616;0.035320;1686672.750000;2599.000000;648.720337;0.999615;0.000230;15861.959961;11809.700195;6.100754;4.542192
2700;0.000247;35732.421875;16412.939453;13.234230;6.078866;0.000360;27428.779297;31004.000000;10.158808;11.482963;0.039399;1819599.875000;2699.000000;673.925842;0.999630;0.000234;16875.779297;12557.280273;6.250289;4.650845
2800;0.000255;36767.218750;16872.439453;13.131150;6.025871;0.000381;28588.460938;32304.000000;10.210164;11.537143;0.043796;1954504.375000;2799.000000;698.037231;0.999643;0.000249;17384.740234;12962.940430;6.208836;4.629622
2900;0.000275;38807.179688;17967.019531;13.381786;6.195524;0.000397;29758.179688;33604.000000;10.261441;11.587586;0.048659;2098600.250000;2899.000000;723.655273;0.999655;0.000264;18118.839844;13668.019531;6.247876;4.713110
3000;0.000273;40269.800781;18707.000000;13.423266;6.235667;0.000400;30912.660156;34904.000000;10.304220;11.634666;0.053600;2245107.500000;2999.000000;748.369202;0.999667;0.000260;18873.900391;14084.759766;6.291300;4.694920
3100;0.000282;41811.898438;19409.419922;13.487710;6.261103;0.000408;32095.480469;36204.000000;10.353380;11.678710;0.058871;2394719.750000;3099.000000;772.490295;0.999677;0.000270;19353.039062;14555.900391;6.242916;4.695452
3200;0.000288;43943.558594;20039.220703;13.732363;6.262256;0.000423;33275.601562;37504.000000;10.398625;11.720000;0.064493;2559987.750000;3199.000000;799.996216;0.999687;0.000280;20559.539062;15026.500000;6.424856;4.695781
3300;0.000299;44641.121094;20085.080078;13.527612;6.086388;0.000439;34463.000000;38804.000000;10.443334;11.758788;0.070517;2720897.500000;3299.000000;824.514404;0.999697;0.000290;21121.220703;15542.179688;6.400370;4.709752
3400;0.000307;46803.960938;21721.320312;13.765871;6.388624;0.000458;35649.800781;40104.000000;10.485235;11.795294;0.076836;2881075.000000;3399.000000;847.374939;0.999706;0.000303;21821.060547;16177.320312;6.417959;4.758035
3500;0.000322;48716.878906;22402.380859;13.919108;6.400680;0.000710;36845.378906;41404.000000;10.527251;11.829714;0.083609;3067586.500000;3499.000000;876.453308;0.999714;0.000312;22511.679688;16729.300781;6.431909;4.779800
3600;0.000329;50261.019531;23330.820312;13.961394;6.480783;0.000477;38023.519531;42704.000000;10.562089;11.862223;0.090871;3228496.750000;3599.000000;896.804626;0.999722;0.000318;23014.300781;17185.859375;6.392861;4.773850
3700;0.000338;51440.519531;23672.939453;13.902843;6.398092;0.000498;39222.300781;44004.000000;10.600621;11.892973;0.098349;3415931.000000;3699.000000;923.224548;0.999730;0.000329;24179.060547;18127.880859;6.534881;4.899427
3800;0.000362;53628.378906;24770.419922;14.112732;6.518532;0.000532;40408.699219;45304.000000;10.633868;11.922105;0.106608;3614576.750000;3799.000000;951.204407;0.999737;0.000348;24330.839844;18155.380859;6.402853;4.777731
3900;0.000382;54523.460938;25022.419922;13.980374;6.416005;0.000554;41620.941406;46604.000000;10.672036;11.949743;0.115605;3798789.750000;3899.000000;974.048645;0.999744;0.000369;25566.160156;18886.500000;6.555426;4.842692
